rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.962516,8.696727,1.557694,4.747861
16,32,3686400,4.327155,6.61775,1.516083,4.554351
64,128,14745600,3.815631,9.479905,1.476815,4.378976
